No.,購入日,部署,品名,単価,数量,金額
1,2022/4/3,営業,コピー用紙,\500 ,5,"\2,500 "
2,2022/4/3,営業,付箋,\200 ,10,"\2,000 "
3,2022/4/8,総務,クリアファイル,\300 ,5,"\1,500 "
4,2022/4/8,総務,ホッチキス針,\50 ,10,\500 
5,2022/4/14,製造,ガムテープ,\120 ,20,"\2,400 "
6,2022/4/14,製造,軍手,\200 ,10,"\2,000 "
7,2022/4/20,営業,セロハンテープ,\150 ,10,"\1,500 "
8,2022/4/20,総務,ボールペン,\200 ,10,"\2,000 "
9,2022/4/20,総務,シャープペン替え芯,\150 ,10,"\1,500 "
10,2022/4/25,設計,クリアファイル,\300 ,8,"\2,400 "
11,2022/4/25,設計,修正ペン,\200 ,6,"\1,200 "
12,2022/4/25,設計,付箋,\200 ,8,"\1,600 "
13,2022/4/27,製造,セロハンテープ,\150 ,20,"\3,000 "
14,2022/4/27,製造,油性マジック,\150 ,25,"\3,750 "
15,2022/5/1,総務,コピー用紙,\500 ,3,"\1,500 "
16,2022/5/1,総務,消しゴム,\120 ,10,"\1,200 "
17,2022/5/1,総務,蛍光ペン,\180 ,5,\900 
18,2022/5/7,営業,スティックのり,\160 ,5,\800 
19,2022/5/7,営業,両面テープ,\200 ,2,\400 
20,2022/5/7,営業,ボールペン,\240 ,10,"\2,400 "
21,2022/5/10,設計,乾電池,\550 ,6,"\3,300 "
22,2022/5/10,設計,ホッチキス針,\50 ,8,\400 
23,2022/5/13,製造,ゴム手袋,\650 ,1,\650 
24,2022/5/13,製造,メラミンスポンジ,\350 ,1,\350 
25,2022/5/13,製造,ティッシュ,\350 ,5,"\1,750 "
26,2022/5/19,営業,修正ペン,\200 ,4,\800 
27,2022/5/19,営業,画鋲,\300 ,1,\300 
28,2022/5/24,総務,ガムテープ,\120 ,4,\480 
29,2022/5/24,総務,付箋,\200 ,10,"\2,000 "
30,2022/5/24,総務,スティックのり,\160 ,6,\960 
31,2022/5/27,設計,ボールペン,\200 ,8,"\1,600 "
32,2022/5/27,設計,消しゴム,\130 ,6,\780 
33,2022/6/1,営業,ノート,\200 ,10,"\2,000 "
34,2022/6/1,営業,ウェットティッシュ,\400 ,3,"\1,200 "
35,2022/6/9,設計,ティッシュ,\350 ,4,"\1,400 "
36,2022/6/9,設計,マスキングテープ,\200 ,4,\800 
37,2022/6/11,製造,ハサミ,\600 ,1,\600 
38,2022/6/11,製造,コピー用紙,\500 ,6,"\3,000 "
39,2022/6/11,製造,乾電池,\800 ,2,"\1,600 "
40,2022/6/17,営業,ボールペン,\200 ,6,"\1,200 "
41,2022/6/17,営業,蛍光ペン,\180 ,12,"\2,160 "
42,2022/6/20,総務,ウェットティッシュ,\400 ,8,"\3,200 "
43,2022/6/20,総務,マスキングテープ,\200 ,6,"\1,200 "
44,2022/6/22,設計,瞬間接着剤,\550 ,1,\550 
45,2022/6/22,設計,輪ゴム,\320 ,1,\320 
46,2022/6/22,設計,カッターナイフ,\450 ,2,\900 
47,2022/6/28,製造,ホッチキス,\600 ,2,"\1,200 "
48,2022/6/28,製造,ビニール紐,\400 ,2,\800 
49,2022/7/2,総務,付箋,\200 ,8,"\1,600 "
50,2022/7/2,総務,アルコールスプレー,\380 ,2,\760 
51,2022/7/5,設計,定規,\350 ,3,"\1,050 "
52,2022/7/5,設計,鉛筆,\450 ,2,\900 
53,2022/7/10,営業,ビニール袋,\250 ,2,\500 
54,2022/7/10,営業,電球,\300 ,4,"\1,200 "
55,2022/7/10,営業,クリアファイル,\280 ,4,"\1,120 "
56,2022/7/15,製造,軍手,\250 ,10,"\2,500 "
57,2022/7/15,製造,マジック,\220 ,5,"\1,100 "
58,2022/7/18,営業,シャチハタ,\700 ,4,"\2,800 "
59,2022/7/21,総務,コピー用紙,\500 ,5,"\2,500 "
60,2022/7/21,総務,ボールペン,\200 ,6,"\1,200 "
61,2022/7/26,設計,両面テープ,\200 ,4,\800 
62,2022/7/26,設計,ガムテープ,\120 ,10,"\1,200 "
63,2022/7/30,製造,カッターナイフ,\450 ,3,"\1,350 "
64,2022/7/30,製造,アルコールスプレー,\380 ,4,"\1,520 "
65,2022/8/3,営業,ノート,\200 ,8,"\1,600 "
66,2022/8/3,営業,鉛筆,\450 ,2,\900 
67,2022/8/6,設計,ボールペン,\200 ,6,"\1,200 "
68,2022/8/6,設計,付箋,\200 ,4,\800 
69,2022/8/10,総務,ビニール袋,\250 ,3,\750 
70,2022/8/10,総務,ゴム手袋,\650 ,2,"\1,300 "
71,2022/8/10,総務,マジック,\220 ,6,"\1,320 "
72,2022/8/18,製造,マスク,\980 ,2,"\1,960 "
73,2022/8/18,製造,蛍光灯,\780 ,10,"\7,800 "
74,2022/8/18,製造,ティッシュ,\350 ,6,"\2,100 "
75,2022/8/22,営業,乾電池,\650 ,2,"\1,300 "
76,2022/8/22,営業,マスキングテープ,\250 ,3,\750 
77,2022/8/26,設計,修正テープ,\300 ,4,"\1,200 "
78,2022/8/26,設計,マジック,\220 ,8,"\1,760 "
79,2022/8/30,総務,パンチ,"\1,400 ",1,"\1,400 "
80,2022/8/30,総務,ティッシュ,\350 ,4,"\1,400 "
81,2022/9/2,設計,ティッシュ,\350 ,6,"\2,100 "
82,2022/9/2,設計,ウェットティッシュ,\400 ,3,"\1,200 "
83,2022/9/7,営業,ティッシュ,\350 ,3,"\1,050 "
84,2022/9/7,営業,アルコールスプレー,\380 ,3,"\1,140 "
85,,,,,,\0 
86,,,,,,\0 
87,,,,,,\0 
88,,,,,,\0 
89,,,,,,\0 
90,,,,,,\0 
91,,,,,,\0 
92,,,,,,\0 
93,,,,,,\0 
94,,,,,,\0 
95,,,,,,\0 
96,,,,,,\0 
97,,,,,,\0 
98,,,,,,\0 
99,,,,,,\0 
100,,,,,,\0 
